ticker,source,security_name,description,tag
ZR=F,Yahoo Finance,Rice,"Rough rice futures (CBOT), USD/cwt",Agricultural
,,Canola,"ICE Canada canola futures - checked RS=F on Yahoo, delisted/no data.",Agricultural
ZO=F,Yahoo Finance,Oat,"Oat futures (CBOT), cents/bu",Agricultural
,,Wool,AWEX wool market indicator - no free ticker.,Agricultural
SB=F,Yahoo Finance,Sugar,"Sugar No. 11 futures (ICE), cents/lb",Agricultural
CC=F,Yahoo Finance,Cocoa,"Cocoa futures (ICE), USD/metric ton",Agricultural
,,Tea,Tea auction price (Mombasa/Colombo) - no free ticker.,Agricultural
,,Sunflower Oil,"Sunflower oil - OTC/Black Sea benchmark, no free ticker.",Agricultural
,,Rapeseed,"ICE Canada/Euronext rapeseed futures - no free ticker (Canola, also unavailable, is the closest proxy).",Agricultural
,,Barley,Feed/malting barley - no free ticker.,Agricultural
CB=F,Yahoo Finance,Butter,"Cash-settled butter futures (CME), cents/lb",Agricultural
,,Potatoes,Potato futures (Euronext) - no free ticker.,Agricultural
ZC=F,Yahoo Finance,Corn,"Corn futures (CBOT), cents/bu",Agricultural
,,Bitumen,Asphalt/bitumen benchmark - no free ticker.,Industrial
,,Cobalt,LME cobalt - no free ticker.,Industrial
,,Lead,LME lead - no free ticker.,Industrial
ALI=F,Yahoo Finance,Aluminum,"Aluminum futures (COMEX), USD/metric ton",Industrial
,,Tin,LME tin - no free ticker.,Industrial
,,Zinc,"LME zinc - checked ZN=F on Yahoo, which is actually the CBOT 10-Year T-Note future, not zinc; no genuine free ticker exists.",Industrial
,,Nickel,LME nickel - no free ticker.,Industrial
,,Molybdenum,"Molybdenum oxide - checked MO=F on Yahoo, delisted/no data.",Industrial
PA=F,Yahoo Finance,Palladium,"Palladium futures (NYMEX), USD/troy oz",Industrial
,,Rhodium,"Rhodium - spot-only market, no futures/ticker on Yahoo.",Industrial
,,Phosphorus,Yellow phosphorus - no free ticker.,Industrial
,,Polyethylene,Polyethylene (HDPE/LDPE) - no free ticker.,Industrial
,,Polyvinyl,Polyvinyl chloride (PVC) - no free ticker.,Industrial
,,Polypropylene,Polypropylene - no free ticker.,Industrial
,,Synthetic Rubber,Synthetic rubber (SBR/BR) - no free ticker.,Industrial
,,Soda Ash,Soda ash (sodium carbonate) - no free ticker.,Industrial
,,Neodymium,Neodymium rare earth - no free ticker.,Industrial
,,Styrene,Styrene monomer - no free ticker.,Industrial
,,Sulfur,Sulfur - no free ticker.,Industrial
,,Tellurium,Tellurium minor metal - no free ticker.,Industrial
,,Urea,Urea fertilizer - no free ticker.,Industrial
,,Di-ammonium,Diammonium phosphate (DAP) fertilizer - no free ticker.,Industrial
,,Magnesium,Magnesium metal - no free ticker.,Industrial
,,Gallium,Gallium minor metal - no free ticker.,Industrial
,,Germanium,Germanium minor metal - no free ticker.,Industrial
,,Manganese,Manganese ore/alloy - no free ticker.,Industrial
,,Indium,Indium minor metal - no free ticker.,Industrial
,,Kraft Pulp,Kraft pulp (paper industry) - no free ticker.,Industrial
GF=F,Yahoo Finance,Feeder Cattle,"Feeder cattle futures (CME), cents/lb",Livestock
LE=F,Yahoo Finance,Live Cattle,"Live cattle futures (CME), cents/lb",Livestock
HE=F,Yahoo Finance,Lean Hogs,"Lean hogs futures (CME), cents/lb",Livestock
,,Beef,Boxed beef cutout value - no futures-exchange proxy on Yahoo.,Livestock
,,Poultry,Broiler/poultry price - no free ticker.,Livestock
,,Eggs US,US egg price (e.g. CME egg futures) - no free ticker found on Yahoo.,Livestock
,,Eggs CH,China egg price - no free ticker.,Livestock
,,Salmon,"Norwegian salmon price - trades on Fish Pool, not mirrored on Yahoo.",Livestock
,,CRB Index,"Thomson Reuters/CoreCommodity CRB Index - checked ^CRB and CRBQ on Yahoo, neither resolves.",Index
^SPGSCI,Yahoo Finance,GSCI,"S&P GSCI commodity index, index points",Index
,,SSE Commodity Index,Shanghai Stock Exchange commodity index - no free ticker.,Index
,,World Container Index,Drewry World Container Index (freight) - no free ticker.,Index
,,Containerized Freight Index,Container freight rate index (e.g. SCFI) - no free ticker.,Index
,,EU Carbon Permits,EU ETS carbon allowance (EUA) futures - no free ticker on Yahoo.,Index
,,Wind Energy Index,"No literal wind-energy commodity index on Yahoo; closest is thematic ETF FAN, not equivalent.",Index
,,Nuclear Energy Index,"No literal nuclear-energy commodity index on Yahoo; closest is thematic ETF NLR, not equivalent.",Index
,,Solar Energy Index,"No literal solar-energy commodity index on Yahoo; closest is thematic ETF TAN, not equivalent.",Index
,,United Kingdom,UK day-ahead power price (EPEX/N2EX) - no free/keyless source.,Electricity
,,Germany,German day-ahead power price (EPEX) - no free/keyless source.,Electricity
,,France,French day-ahead power price (EPEX) - no free/keyless source.,Electricity
,,Italy,Italian day-ahead power price (GME/PUN) - no free/keyless source.,Electricity
,,Spain,Spanish day-ahead power price (OMIE) - no free/keyless source.,Electricity
